City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,vysokogornyy,64,RU,1521253739,56,50.1,139.13,14.79,8.88
89,broken hill,0,AU,1521253739,24,-31.97,141.45,95.7,17.16
90,mackenzie,75,CA,1521252000,74,55.34,-123.09,37.4,1.83
91,ballina,24,IE,1521253740,94,54.11,-9.15,43.32,14.7
92,victor harbor,75,AU,1521251580,26,-35.55,138.62,82.4,21.92
93,mayo,40,CA,1521248400,48,63.59,-135.9,42.8,2.24
94,coeneo,75,MX,1521251160,28,19.82,-101.58,73.4,8.05
95,jalu,0,LY,1521253741,46,29.03,21.55,57.45,8.77
96,saint-francois,90,FR,1521252000,87,46.42,3.91,42.8,1.12
97,komsomolets,88,RU,1521253742,79,52.77,41.29,8.67,3.51
98,namatanai,48,PG,1521253742,100,-3.66,152.44,81.66,14.92
99,dongsheng,92,CN,1521253742,100,29.72,112.52,55.74,5.3
100,ronne,92,FR,1521252000,100,48.45,0.83,39.2,2.24
101,cabo san lucas,20,MX,1521251040,44,22.89,-109.91,77.0,2.24
102,laguna,90,MX,1521251100,49,27.52,-110.01,69.8,2.24
103,mackay,40,CA,1521252000,64,53.65,-115.58,37.4,4.7
104,trincomalee,64,LK,1521253743,84,8.58,81.23,81.3,4.97
105,gonaives,44,HT,1521253744,98,19.45,-72.68,70.59,2.95
106,qaanaaq,0,GL,1521253744,65,77.48,-69.36,-22.48,2.95
107,arraial do cabo,24,BR,1521253516,99,-22.97,-42.02,77.7,7.99
108,bredasdorp,20,ZA,1521252000,82,-34.53,20.04,60.8,10.29
109,ribeira grande,92,PT,1521253554,94,38.52,-28.7,63.84,29.24
110,maragogi,64,BR,1521253745,100,-9.01,-35.22,71.49,4.29
111,talnakh,0,RU,1521253745,37,69.49,88.39,-24.46,2.62
112,comodoro rivadavia,0,AR,1521252000,45,-45.87,-67.48,62.6,14.99
113,saint-michel-des-saints,56,CA,1521253609,58,46.68,-73.92,14.34,11.01
114,saint george,0,GR,1521251400,81,39.45,22.34,48.2,4.7
115,bocana de paiwas,32,NI,1521253746,88,12.79,-85.12,73.47,7.76
116,kodiak,75,US,1521251580,75,39.95,-94.76,42.8,13.87
117,severo-kurilsk,44,RU,1521253747,100,50.68,156.12,19.02,23.2
118,jamestown,8,AU,1521253748,57,-33.21,138.6,82.92,14.25
119,honiara,40,SB,1521252000,70,-9.43,159.96,89.6,9.17
120,nalut,0,LY,1521253749,24,31.86,10.98,69.24,14.14
121,kieta,92,PG,1521253749,100,-6.22,155.63,73.65,6.42
122,rio grande,0,BR,1521253749,97,-32.03,-52.1,67.8,9.44
123,san felipe,0,CL,1521252000,62,-32.75,-70.73,59.0,10.29
124,lima,32,PE,1521253712,94,-12.06,-77.04,60.87,0.94
125,balmazujvaros,24,HU,1521253751,95,47.62,21.35,42.15,9.66
126,ahipara,80,NZ,1521253751,94,-35.17,173.16,67.71,10.22
127,poum,12,MK,1521253752,57,41.28,20.71,51.15,4.97
128,northam,40,GB,1521251400,87,51.04,-4.21,44.6,5.82
129,fortuna,0,ES,1521252000,57,38.18,-1.13,50.0,11.41
130,orikhiv,90,UA,1521252000,93,47.57,35.78,37.4,11.18
131,mar del plata,0,AR,1521253753,57,-46.43,-67.52,56.01,13.35
132,lompoc,20,US,1521252540,87,34.64,-120.46,53.6,10.22
133,brae,20,GB,1521251400,59,60.4,-1.35,35.6,25.28
134,tuktoyaktuk,20,CA,1521248400,84,69.44,-133.03,6.8,5.82
135,dawlatabad,8,AF,1521253754,56,36.41,64.91,48.45,8.77
136,masunga,0,BW,1521253754,54,-20.62,27.45,68.88,15.48
137,okha,8,RU,1521253754,84,53.59,142.95,9.3,4.63
138,macomb,90,US,1521251700,85,40.46,-90.67,39.2,10.29
139,saskylakh,12,RU,1521253755,39,71.97,114.09,-25.54,8.43
140,taonan,0,CN,1521253755,100,45.34,122.78,32.97,4.63
141,qaqortoq,20,GL,1521251400,17,60.72,-46.03,41.0,25.28
142,port alfred,0,ZA,1521253756,100,-33.59,26.89,63.21,5.75
143,san andres,32,PH,1521253730,100,13.32,122.68,80.67,13.69
144,pisco,90,PE,1521252000,69,-13.71,-76.2,75.2,6.93
145,nantucket,40,US,1521252900,50,41.28,-70.1,33.8,20.8
146,puerto ayora,68,EC,1521253757,100,-0.74,-90.35,79.41,3.4
147,butaritari,88,KI,1521253757,100,3.07,172.79,79.68,5.3
148,nicoya,0,CR,1521252000,54,10.15,-85.45,84.2,18.34
149,tiksi,20,RU,1521253758,54,71.64,128.87,-18.79,4.07
150,bordighera,75,IT,1521252000,87,43.79,7.66,51.8,5.82
151,makakilo city,40,US,1521252360,78,21.35,-158.09,80.6,11.41
152,faanui,80,PF,1521253758,100,-16.48,-151.75,82.56,12.8
153,lixourion,92,GR,1521253759,91,38.2,20.43,61.05,20.51
154,baghdad,0,IQ,1521252000,58,33.3,44.38,53.6,6.93
155,east london,76,ZA,1521253760,100,-33.02,27.91,67.89,3.85
156,rio gallegos,40,AR,1521252000,60,-51.62,-69.22,41.0,11.41
157,berlevag,88,NO,1521253760,100,70.86,29.09,21.72,5.41
158,antofagasta,0,CL,1521252000,82,-23.65,-70.4,66.2,3.36
159,yendi,24,GH,1521253761,94,9.45,0.0,73.65,8.77
160,port blair,0,IN,1521253761,100,11.67,92.75,83.01,11.68
161,yueyang,92,CN,1521253761,88,29.36,113.12,59.7,1.28
162,mount gambier,88,AU,1521253762,35,-37.83,140.78,82.02,12.46
163,upernavik,24,GL,1521253762,100,72.79,-56.15,-8.71,17.49
164,geraldton,20,CA,1521248400,29,49.72,-86.95,24.8,3.36
165,souillac,0,FR,1521252000,93,45.6,-0.6,39.2,4.7
166,sitka,0,US,1521253763,27,37.17,-99.65,56.55,20.4
167,ossora,88,RU,1521253763,100,59.24,163.07,30.9,16.49
168,inirida,8,CO,1521253764,85,3.87,-67.92,77.79,1.95
169,chuy,0,UY,1521253638,94,-33.69,-53.46,65.1,9.33
170,weihai,68,CN,1521253764,93,37.5,122.11,39.36,9.78
171,arona,75,IT,1521251700,87,45.76,8.56,50.0,6.93
172,kibara,75,TZ,1521248400,100,-2.15,33.45,64.4,3.74
173,darhan,0,MN,1521253765,41,49.49,105.92,40.62,4.29
174,aksarka,76,RU,1521253766,81,66.56,67.8,-12.85,13.35
175,gat,76,SN,1521253766,65,14.69,-16.54,69.96,12.46
176,jumla,0,NP,1521253766,85,29.28,82.18,28.74,1.95
177,yumen,80,CN,1521253767,80,40.29,97.04,38.19,6.08
178,cranbrook,75,CA,1521252000,52,49.51,-115.76,42.8,2.24
179,saint-joseph,92,FR,1521252000,87,43.56,6.97,51.8,1.12
180,wanning,40,AT,1521251400,100,48.64,13.53,37.4,3.36
181,alofi,40,NU,1521248400,66,-19.06,-169.92,86.0,6.93
182,zhezkazgan,0,KZ,1521252000,84,47.8,67.71,3.2,13.42
183,north bend,20,US,1521252900,70,43.41,-124.22,48.2,8.05
184,katsuura,20,JP,1521252000,65,33.93,134.5,44.6,6.93
185,kurumkan,68,RU,1521253770,79,54.33,110.32,20.19,3.51
186,maracaju,32,BR,1521253770,93,-21.61,-55.17,75.09,6.2
187,srednekolymsk,0,RU,1521253771,34,67.46,153.71,-9.7,3.96
188,norman wells,75,CA,1521248400,92,65.28,-126.83,32.0,9.17
189,cayenne,90,GF,1521252000,78,4.94,-52.33,80.6,11.41
190,leningradskiy,0,RU,1521253771,57,69.38,178.42,-19.15,9.55
191,tempio pausania,75,IT,1521252000,87,40.9,9.1,53.6,6.93
192,aden,0,YE,1521253772,98,12.79,45.03,77.25,7.99
193,muli,0,IN,1521253772,46,22.62,71.45,72.3,8.21
194,nikolskoye,0,RU,1521252000,85,59.7,30.79,12.2,6.71
195,muros,20,ES,1521252000,86,42.77,-9.06,41.0,2.24
196,birjand,0,IR,1521252000,20,32.86,59.22,55.4,25.28
197,aklavik,90,CA,1521252000,78,68.22,-135.01,12.2,6.93
198,sao filipe,0,CV,1521253774,99,14.9,-24.5,69.6,16.26
199,maine-soroa,0,NE,1521253774,36,13.21,12.02,64.56,4.97
200,casablanca,40,MA,1521252000,100,33.6,-7.62,46.4,8.05
201,tasiilaq,64,GL,1521251400,67,65.61,-37.64,23.0,3.36
202,labuhan,32,ID,1521253775,72,-2.54,115.51,86.25,2.39
203,amilly,80,FR,1521253776,93,47.98,2.77,44.85,3.4
204,khatanga,32,RU,1521253776,0,71.98,102.47,-30.94,3.18
205,leshukonskoye,76,RU,1521253710,61,64.9,45.76,-2.86,7.54
206,chicama,40,PE,1521252000,88,-7.84,-79.15,69.8,9.17
207,goderich,0,CA,1521253777,70,43.74,-81.71,26.04,12.8
208,nyurba,56,RU,1521253777,60,63.29,118.35,1.02,6.87
209,narsaq,44,GL,1521251400,17,60.91,-46.05,41.0,25.28
210,egvekinot,8,RU,1521253778,67,66.32,-179.17,-9.88,3.29
211,lorengau,20,PG,1521253778,94,-2.02,147.27,84.54,7.2
212,sibolga,12,ID,1521253778,89,1.74,98.78,78.06,1.16
213,port lincoln,12,AU,1521253778,78,-34.72,135.86,73.29,11.68
214,ilulissat,24,GL,1521251400,83,69.22,-51.1,-7.61,2.24
215,mabaruma,92,GY,1521253780,83,8.2,-59.78,79.14,8.21
216,flinders,0,AU,1521248400,42,-34.58,150.85,84.2,6.93
217,liuzhou,92,CN,1521253780,99,24.32,109.41,65.64,12.8
218,grand gaube,75,MU,1521252000,78,-20.01,57.66,80.6,11.41
219,tautira,75,PF,1521252000,83,-17.73,-149.15,77.0,18.34
220,provost,8,CA,1521253782,65,52.35,-110.26,15.15,2.95
221,bilma,0,NE,1521253782,25,18.69,12.92,59.25,2.73
222,port elizabeth,1,US,1521251760,43,39.31,-74.98,37.4,14.99
223,atar,0,MR,1521253783,33,20.52,-13.05,66.54,10.56
224,palmer,75,AU,1521251580,26,-34.85,139.16,82.4,21.92
225,ixtapa,5,MX,1521250860,73,20.71,-105.21,73.4,1.16
226,boyolangu,56,ID,1521253783,85,-8.09,111.9,80.4,3.96
227,beringovskiy,80,RU,1521253784,100,63.05,179.32,4.89,9.78
228,lecce,40,IT,1521251700,87,40.36,18.17,59.0,21.92
229,nanortalik,8,GL,1521253784,92,60.14,-45.24,28.92,29.91
230,bethel,90,US,1521251580,85,60.79,-161.76,21.2,17.22
231,evensk,88,RU,1521253786,100,61.92,159.24,13.89,32.14
232,kavaratti,92,IN,1521253786,100,10.57,72.64,82.65,10.89
233,talaya,32,RU,1521253786,92,55.79,84.89,16.5,4.97
234,suluq,5,LY,1521252000,40,31.67,20.25,68.0,23.04
235,mandan,75,US,1521252900,85,46.83,-100.89,24.8,10.29
236,lavrentiya,0,RU,1521253787,100,65.58,-170.99,-4.3,13.35
237,saldanha,92,PT,1521253788,99,41.42,-6.55,39.45,7.43
238,dagana,68,MR,1521253788,44,16.52,-15.51,71.85,9.78
239,navirai,44,BR,1521253788,97,-23.07,-54.19,72.75,2.95
240,lebu,20,ET,1521252000,81,8.96,38.73,53.6,4.7
241,den helder,90,NL,1521251700,68,52.96,4.76,32.0,27.51
242,sulzbach-rosenberg,90,DE,1521251760,100,49.5,11.75,35.6,10.0
243,sabzevar,64,IR,1521253790,47,36.21,57.68,47.37,5.53
244,hami,76,CN,1521253790,55,42.84,93.51,50.61,6.42
245,guanica,40,PR,1521251400,83,17.97,-66.91,75.2,7.99
246,ishim,56,RU,1521253791,83,56.11,69.47,19.02,13.13
247,muravlenko,92,RU,1521253791,82,63.79,74.5,5.97,12.35
248,jaypur,44,IN,1521253791,51,23.05,87.44,80.67,11.79
249,floro,80,NO,1521251400,33,61.6,5.03,28.4,16.11
250,aksu,0,KZ,1521252000,92,52.04,76.93,17.6,6.71
251,cordele,1,US,1521251700,47,31.96,-83.78,59.0,5.64
252,sanford,1,US,1521252900,48,35.48,-79.18,55.4,6.53
253,boguchany,92,RU,1521253793,73,58.38,97.46,25.14,6.08
254,yar-sale,76,RU,1521253793,76,66.83,70.83,-11.59,15.48
255,baoshan,90,CN,1521252000,66,31.41,121.49,53.6,13.42
256,la ronge,90,CA,1521248400,69,55.1,-105.3,33.8,5.82
257,hambantota,32,LK,1521253794,100,6.12,81.12,81.12,9.44
258,dzilam gonzalez,0,MX,1521253795,48,21.28,-88.93,79.77,6.98
259,bonthe,80,SL,1521253795,90,7.53,-12.5,78.33,4.18
260,ganzhou,76,CN,1521253795,85,25.86,114.93,64.47,2.39
261,papineauville,20,CA,1521248400,38,45.62,-75.02,23.0,9.17
262,acajutla,20,SV,1521247800,61,13.59,-89.83,82.4,6.93
263,taoudenni,0,ML,1521253796,25,22.68,-3.98,61.59,11.23
264,payo,44,ID,1521253797,100,-3.75,103.64,78.96,4.63
265,borogontsy,0,RU,1521253797,47,62.67,131.17,-2.32,4.07
266,dusnok,80,HU,1521253797,91,46.39,18.96,41.7,3.18
267,san patricio,0,PY,1521253798,89,-26.98,-56.83,77.97,4.18
268,pochutla,75,MX,1521250920,100,15.74,-96.47,80.6,12.35
269,ak-dovurak,68,RU,1521253798,82,51.17,90.6,26.85,3.96
270,mount isa,40,AU,1521250200,26,-20.73,139.49,93.2,8.05
271,kovur,80,IN,1521253799,79,14.5,79.99,77.25,4.63
272,havelock,5,US,1521251880,81,34.88,-76.9,46.4,5.82
273,kununurra,20,AU,1521250200,49,-15.77,128.74,89.6,14.99
274,three hills,75,CA,1521252000,86,51.7,-113.27,28.4,6.93
275,karpathos,0,GR,1521251400,93,35.51,27.21,60.8,9.17
276,tuatapere,0,NZ,1521253801,92,-46.13,167.69,58.35,7.43
277,quatre cocos,75,MU,1521252000,78,-20.21,57.76,80.6,11.41
278,anderson,1,US,1521252900,44,34.51,-82.65,64.4,8.05
279,nuuk,48,GL,1521251400,68,64.17,-51.74,28.4,13.87
280,karasburg,0,NA,1521253805,38,-28.01,18.75,56.19,7.2
281,saint-louis,0,CH,1521252000,100,47.59,7.56,37.4,2.24
282,balkhash,88,KZ,1521253806,100,46.84,74.98,27.66,2.39
283,mikhaylovskoye,36,RU,1521253807,87,43.1,44.64,32.07,2.73
284,vagur,56,FO,1521253807,100,61.47,-6.81,42.96,32.48
285,fairbanks,90,US,1521251880,92,64.84,-147.72,26.6,3.51
286,iberia,32,PE,1521253808,91,-11.41,-69.49,76.62,1.83
287,nerchinskiy zavod,12,RU,1521253808,57,51.31,119.61,30.54,7.99
288,iskateley,68,RU,1521253808,81,67.68,53.15,-8.35,16.82
289,abu zabad,0,SD,1521253809,31,12.35,29.25,56.73,7.2
290,bridlington,32,GB,1521251400,80,54.08,-0.19,35.6,23.04
291,los llanos de aridane,0,ES,1521252000,59,28.66,-17.92,60.8,8.05
292,salalah,20,OM,1521251400,73,17.01,54.1,73.4,3.36
293,lazurne,88,UA,1521253810,96,46.77,34.99,39.27,9.78
294,antalaha,92,MG,1521253811,100,-14.9,50.28,74.55,16.6
295,japura,92,ID,1521253811,94,-0.42,102.29,77.88,2.39
296,manuk mangkaw,56,PH,1521253812,100,4.8,119.85,83.19,15.48
297,le vauclin,20,MQ,1521252000,78,14.55,-60.84,78.8,6.93
298,mareeba,40,AU,1521250200,48,-16.99,145.42,87.8,20.8
299,bathsheba,75,BB,1521252000,78,13.22,-59.52,78.8,18.34
300,kiunga,0,PG,1521253813,66,-6.12,141.3,89.67,2.95
301,port-gentil,80,GA,1521253814,100,-0.72,8.78,79.59,7.09
302,kolokani,0,ML,1521253814,28,13.58,-8.03,71.85,9.44
303,hirara,75,JP,1521252000,73,24.8,125.28,73.4,14.99
304,bondoukou,88,CI,1521253815,96,8.04,-2.8,71.04,6.87
305,half moon bay,75,US,1521251760,66,37.46,-122.43,51.8,11.41
306,brainerd,1,US,1521252960,68,46.36,-94.2,28.4,5.75
307,ukiah,90,US,1521251760,75,39.15,-123.21,44.6,4.7
308,hamilton,90,BM,1521251700,72,32.3,-64.78,66.2,23.04
309,athens,75,US,1521252900,77,34.8,-86.97,60.8,11.41
310,anloga,20,GH,1521252000,83,5.79,0.9,82.4,11.41
311,port macquarie,0,AU,1521248400,52,-31.43,152.91,87.8,4.7
312,kralendijk,56,BQ,1521251700,78,12.15,-68.27,78.8,19.46
313,tilichiki,80,RU,1521253815,87,60.47,166.1,29.91,19.84
314,puro,44,PH,1521253818,84,13.13,123.76,82.02,9.22
315,kavieng,92,PG,1521253819,100,-2.57,150.8,81.03,10.11
316,terrace,75,CA,1521252000,48,54.52,-128.61,44.6,5.82
317,klaksvik,88,FO,1521251400,69,62.23,-6.59,39.2,24.16
318,okato,92,NZ,1521253820,97,-39.19,173.88,66.09,8.32
319,bandarbeyla,0,SO,1521253820,100,9.49,50.81,77.7,1.61
320,kathmandu,20,NP,1521253200,67,27.71,85.32,59.0,2.39
321,erenhot,92,CN,1521253821,35,43.65,111.97,41.07,11.01
322,maicao,0,CO,1521253821,77,11.38,-72.24,79.41,15.37
323,spokane,20,US,1521251880,64,47.66,-117.42,42.8,3.36
324,tuy hoa,92,VN,1521253822,91,13.08,109.3,77.52,5.97
325,rincon de la victoria,92,BO,1521252000,82,-21.52,-64.81,66.2,2.06
326,san pancrazio salentino,40,IT,1521251700,87,40.42,17.84,59.0,21.92
327,hay river,20,CA,1521252000,73,60.82,-115.79,19.4,3.62
328,ikalamavony,68,MG,1521253823,91,-21.17,46.6,65.55,11.68
329,kropotkin,0,RU,1521253823,87,45.43,40.58,31.53,4.18
330,prescott,1,US,1521251580,45,34.54,-112.47,48.2,12.75
331,inhambane,80,MZ,1521253824,100,-23.87,35.38,74.82,9.33
332,thinadhoo,36,MV,1521253824,100,0.53,72.93,84.09,12.68
